## IMINE2-J-001	cvs
オープンソース	241.53808900000004
バージョン管理システム	202.29546799999997
エセックス級航空母艦	115.81491800000002
企業	97.04383899999999
ソフトウェア開発ツール	92.77914299999999
コンピュータ	80.617357
FLOSS	79.206374
日本のコンビニ	70.769525
ソフトウェア	68.442578
KDE	56.257591000000005
BSD	55.547247999999996
存命人物	54.778613
統合開発環境	51.89398
Linuxディストリビューション	50.340686
1945年竣工船	49.190335000000005
アメリカ合衆国の小売業者	47.429491
薬局・薬店	47.429491
ローソン	44.61018
コンピュータゲーム	42.263401
アメリカ合衆国の揚陸艦	40.871752
GNUプロジェクト	40.316027
Javaツール	39.655887
日本のLinux開発	37.290687
協働	30.172584
NYSE上場企業	30.092089
クロスプラットフォームのソフトウェア	29.645366000000003
ザ・キング・オブ・ファイターズの登場人物	29.49624
サークルKサンクス	29.257171
ネットワークソフト	28.803825
東京都出身の人物	28.142635
餓狼伝説の登場人物	26.925586000000003
コンパイラ	26.869191
Apacheソフトウェア財団	26.834787
インターネット技術	26.460028
Java	26.460028
1943年竣工船	26.340266
1946年竣工船	25.988647
テキストエディタ	25.433952
UNIXに関連する組織	25.433952
技術のウェブサイト	24.767906
フリーソフトウェアのプロジェクト	24.767906
オープンソース文化・運動	24.767906
ロードアイランド州の企業	17.337402
自動車	16.38699
自動車	16.38699
道路交通	16.38699
経済地理学	15.784735
規模の経済	15.784735
流通	15.784735
経営戦略論	15.784735
東証一部上場企業	15.652477
美浜区の企業	15.652477
1981年設立の企業	15.652477
セブン-イレブン	15.652477
日本の小売業者	15.652477
浦安市の企業	15.652477
1984年没	15.500951
1917年生	15.500951
黄綬褒章受章者	15.500951
大崎市の企業	15.342936
イリノイ州の企業	15.342936
Mozilla	14.940267
JavaScript	14.940267
データベース	14.882075
トランザクション処理	14.882075
アメリカ合衆国の鉄道駅 C	14.843781
鉄道駅	14.843781
バージニア州の鉄道駅	14.843781
ペンシルベニア州の企業	14.749153
かつて存在した日本のコンビニ	14.583309
UNIXのソフトウェア	14.547215
オラクル	14.374394
1962年生	14.374394
ロッテグループ	14.374394
日本のラグビー選手	14.374394
日本の実業家	14.374394
サーバ	14.374394
旭硝子の人物	14.374394
慶應義塾體育會蹴球部の選手	14.374394
通信プロトコル	14.374394
Javaプラットフォーム	14.374394
アプリケーションソフト	14.340986
アメリカ合衆国の航空母艦	14.29567
コンピュータゲームのボスキャラクター	14.272237
航空母艦	14.269015
架空のプロレスラー	14.218298
比較	14.095895
日本の商社	14.026624
日本の食品産業	14.026624
東京都港区の企業	14.026624
1983年設立の企業	14.026624
電子工学	14.026624
EDAソフト	14.026624
双日	14.026624
博物館船	13.956313
お笑い芸人	13.768241
1970年生	13.768241
1968年生	13.604694
アメリカ合衆国のゴルファー	13.604694
大野城市の企業	13.604694
電子商取引	13.604694
情報システム	13.604694
C言語	13.520873
菓子の商品名	13.348318
カリフォルニア州の企業	13.348318
データ圧縮規格	13.348318
フリーパッケージ管理システム	13.348318
Webオーサリングソフト	13.348318
アメリカ合衆国のソフトウェア会社	13.348318
千代田区の企業	13.348318
九州・沖縄地方のスーパーマーケット	13.031284
サンリブ・マルショクグループ	13.031284
1947年設立の企業	13.031284
別府市	13.031284
大分市の企業	13.031284
1957年生	13.031284
ジンバブエのゴルファー	13.031284
ダーバン出身の人物	13.031284
世界ゴルフ殿堂	13.031284
アメリカ合衆国海軍	13.031284
プロジェクトマネジメントソフト	12.8211
SNKのクロスオーバー作品	12.8211
カプコンのクロスオーバー作品	12.8211
コンピュータゲームのシリーズ	12.8211
コンピュータゲームを題材にした作品	12.8211
IRCクライアント	12.8211
コンピュータのデータ	12.8211
メディアプレーヤーソフト	12.8211
1976年設立の企業	12.8211
レストランチェーン	12.8211
岡山市東区の企業	12.8211
日本の外食事業者	12.8211
1970年代の玩具	12.8211
かつて存在したウェブサイト	12.8211
エポック社	12.8211
ゲーム機	12.8211
Ruby	12.8211
ウィキクローン	12.8211
バグ	12.8211
2D対戦型格闘ゲーム	12.8211
1948年設立の企業	12.8211
倉敷市の企業	12.8211
日本の卸売企業	12.8211
Googleのサービス	12.8211
1978年のコンピュータゲーム	12.8211
架空のキックボクサー	12.707288
IBMのソフトウェア	12.617265
DOS	12.383953
カサブランカ級航空母艦	12.383953
C++	12.383953
1944年竣工船	12.383953
エミュレーションソフトウェア	12.383953
2008年没	12.157069
1920年生	12.157069
イギリスの言語学者	12.157069
オックスフォード大学の教員	12.157069
トルコ語	12.157069
ロンドン出身の人物	12.157069
人物	12.157069
学者	12.157069
言語学	12.157069
Windowsのソフトウェア	12.085634
インスタントラーメン	12.085634
OS Xのソフトウェア	12.085634
IPv6	12.085634
研究プロジェクト	12.085634
変光星の分類	12.085634
天文学に関する記事	12.085634
白色矮星	12.085634
ソフトウェア開発キット	12.085634
Python	12.085634
連星	12.085634
エンジニアリング	12.038476
方法論	12.038476
製造	12.038476
認定資格	12.038476
ヤマトグループ	12.038476
日本の貨物運送サービス	12.038476
登録商標	12.038476
## IMINE2-J-002	ゆず
ゆずの楽曲	519.5341959999998
