## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
バージョン管理システム	202.29546799999997,0.3086581319877603
企業	97.04383899999999,0.15746764000093622
存命人物	54.778613,0.01625462962962963
ソフトウェア開発ツール	92.77914299999999,0.665183247202602
エセックス級航空母艦	115.81491800000002,1.35659464710854
コンピュータ	80.617357,1.1258812306306114
薬局・薬店	47.429491,1.2163391842976687
製造	12.038476,0.6522876658797521
1945年竣工船	49.190335000000005,1.6580123084836602
日本のコンビニ	70.769525,2.4390580661016497
FLOSS	79.206374,2.713642823803539
経営戦略論	15.784735,1.4027452947586088
ソフトウェア	68.442578,3.1808753079130185
白色矮星	12.085634,1.5208466371656884
連星	12.085634,1.6606060580325865
協働	30.172584,2.4913321944680877
エンジニアリング	12.038476,1.9246275463944873
経済地理学	15.784735,2.24660109215773
変光星の分類	12.085634,2.2280909390433545
1970年代の玩具	12.8211,2.4558280406833757
1947年設立の企業	13.031284,2.5993531017919573
通信プロトコル	14.374394,2.7994014203479383
コンピュータゲーム	42.263401,4.366459880226683
KDE	56.257591000000005,5.339601511664744
オープンソース文化・運動	24.767906,3.898576791733317
認定資格	12.038476,3.3198076084010597
1948年設立の企業	12.8211,3.453532608501121
方法論	12.038476,3.621446408542059
アメリカ合衆国の小売業者	47.429491,6.323673930088788
1943年竣工船	26.340266,5.0934238115721095
統合開発環境	51.89398,7.497644440673421
1946年竣工船	25.988647,5.660283139258884
流通	15.784735,4.825823104052502
技術のウェブサイト	24.767906,5.886950152658973
天文学に関する記事	12.085634,4.813889505436034
BSD	55.547247999999996,9.437228082390222
コンピュータのデータ	12.8211,5.448377749073783
1981年設立の企業	15.652477,6.010747256436417
規模の経済	15.784735,6.206867147686547
研究プロジェクト	12.085634,5.883532553842762
東京都出身の人物	28.142635,8.003413154892726
電子工学	14.026624,6.5429464970387174
アメリカ合衆国の揚陸艦	40.871752,10.308436080178913
自動車	16.38699,7.488658433381952
1983年設立の企業	14.026624,7.312804936736903
学者	12.157069,7.24859374401961
情報システム	13.604694,7.52019122688078
1976年設立の企業	12.8211,7.718015352249121
ネットワークソフト	28.803825,10.473793288695548
道路交通	16.38699,8.778101842874241
言語学	12.157069,8.242454106552591
Linuxディストリビューション	50.340686,14.802871930607438
データベース	14.882075,9.18241917642299
フリーソフトウェアのプロジェクト	24.767906,11.241126670203155
1984年没	15.500951,9.877625620583569
日本のLinux開発	37.290687,14.466374588733306
自動車	16.38699,10.484617704198332
日本の実業家	14.374394,10.434439129128736
1917年生	15.500951,10.895156592034887
世界ゴルフ殿堂	13.031284,10.672635360473015
電子商取引	13.604694,11.00299218185173
人物	12.157069,10.815563786697156
テキストエディタ	25.433952,13.93211214397591
GNUプロジェクト	40.316027,17.916678640638168
イギリスの言語学者	12.157069,11.63120902307201
1962年生	14.374394,12.5135531114977
バグ	12.8211,12.336134891127543
1970年生	13.768241,12.967009883834352
1968年生	13.604694,13.221045713303706
NYSE上場企業	30.092089,18.157288651479345
インターネット技術	26.460028,17.685839152855518
1957年生	13.031284,14.166466038483522
2008年没	12.157069,14.200302744954435
鉄道駅	14.843781,15.171358062091583
アプリケーションソフト	14.340986,15.174711841214355
レストランチェーン	12.8211,14.947107205271614
1944年竣工船	12.383953,15.305425752659021
比較	14.095895,16.123050702879134
1920年生	12.157069,15.747958848367375
博物館船	13.956313,16.901056578246177
ゲーム機	12.8211,17.072243987747132
菓子の商品名	13.348318,17.60342574238637
ローソン	44.61018,29.00837864719749
EDAソフト	14.026624,18.551809699582847
情報の更新が必要とされている項目/2014年	13.604694,18.711466637586998
日本の食品産業	14.026624,19.124019991570012
Javaツール	39.655887,29.289359358418082
コンパイラ	26.869191,25.244397260950034
プロジェクトマネジメントソフト	12.8211,20.351307687800965
IRCクライアント	12.8211,21.042885699231437
黄綬褒章受章者	15.500951,22.60648700736267
Apacheソフトウェア財団	26.834787,28.014686667731173
日本の卸売企業	12.8211,22.69092174718962
登録商標	12.038476,22.901837082733515
トランザクション処理	14.882075,24.707659447531423
データ圧縮規格	13.348318,24.571406240304494
コンピュータゲームのボスキャラクター	14.272237,25.410463760484774
UNIXに関連する組織	25.433952,31.227430966357936
日本の小売業者	15.652477,27.043892066350676
1978年のコンピュータゲーム	12.8211,26.00050807325727
かつて存在したウェブサイト	12.8211,26.494742827270098
コンピュータゲームを題材にした作品	12.8211,27.162009608799
航空母艦	14.269015,28.514790594641898
サーバ	14.374394,29.175630738601733
ロッテグループ	14.374394,29.511324299586185
お笑い芸人	13.768241,29.768184350266193
オラクル	14.374394,30.44674165187617
Googleのサービス	12.8211,30.054118733475853
架空のプロレスラー	14.218298,31.244954963815307
Java	26.460028,38.62388671197324
トルコ語	12.157069,31.094732276774824
アメリカ合衆国海軍	13.031284,32.18247080483679
Javaプラットフォーム	14.374394,33.92107189037213
Mozilla	14.940267,35.1002662925254
日本の外食事業者	12.8211,34.30143751486339
メディアプレーヤーソフト	12.8211,34.71673836729295
ダーバン出身の人物	13.031284,35.26991138654476
日本の貨物運送サービス	12.038476,36.00811890538004
Webオーサリングソフト	13.348318,37.27437594297508
C言語	13.520873,37.988605031486635
アメリカ合衆国の航空母艦	14.29567,38.951183916763995
日本の商社	14.026624,40.09006344485078
ロンドン出身の人物	12.157069,39.563269454146344
ザ・キング・オブ・ファイターズの登場人物	29.49624,52.01183897135996
コンピュータゲームのシリーズ	12.8211,41.28183785195375
アメリカ合衆国のソフトウェア会社	13.348318,42.3201251393448
サークルKサンクス	29.257171,54.37861004689084
IBMのソフトウェア	12.617265,43.319976950619996
ウィキクローン	12.8211,45.022328760185665
餓狼伝説の登場人物	26.925586000000003,56.32468975767964
クロスプラットフォームのソフトウェア	29.645366000000003,59.32804154509333
東京都港区の企業	14.026624,49.278070387798806
千代田区の企業	13.348318,49.88030500966885
カリフォルニア州の企業	13.348318,50.89836252235075
日本のラグビー選手	14.374394,52.387865535894036
エミュレーションソフトウェア	12.383953,51.63484602561202
ジンバブエのゴルファー	13.031284,52.765919014893015
C++	12.383953,52.84210126860395
IPv6	12.085634,53.28053734156329
Ruby	12.8211,54.82068530249572
アメリカ合衆国のゴルファー	13.604694,56.160241680550996
インスタントラーメン	12.085634,55.87835369796611
Python	12.085634,56.65710550254488
カサブランカ級航空母艦	12.383953,57.837106412169554
双日	14.026624,60.22876600796267
ロードアイランド州の企業	17.337402,64.03046459875262
JavaScript	14.940267,62.705531172599954
ヤマトグループ	12.038476,60.85960482516133
ソフトウェア開発キット	12.085634,61.88980124042544
サンリブ・マルショクグループ	13.031284,63.845373517927705
オックスフォード大学の教員	12.157069,64.24237042468735
架空のキックボクサー	12.707288,65.70165930981126
エポック社	12.8211,67.18039382902629
イリノイ州の企業	15.342936,70.632478115275
カプコンのクロスオーバー作品	12.8211,69.42915241484627
SNKのクロスオーバー作品	12.8211,70.13502243402029
バージニア州の鉄道駅	14.843781,72.97691782256729
東証一部上場企業	15.652477,74.91449482642689
フリーパッケージ管理システム	13.348318,74.89551748085519
かつて存在した日本のコンビニ	14.583309,76.91480777207695
2D対戦型格闘ゲーム	12.8211,76.29338360565605
ペンシルベニア州の企業	14.749153,79.11476267105431
セブン-イレブン	15.652477,81.13238821461674
DOS	12.383953,78.80494466752847
慶應義塾體育會蹴球部の選手	14.374394,82.13542956788652
旭硝子の人物	14.374394,85.2779953184598
九州・沖縄地方のスーパーマーケット	13.031284,86.24600600571755
美浜区の企業	15.652477,90.12277007062785
倉敷市の企業	12.8211,88.59888712654131
UNIXのソフトウェア	14.547215,92.40243339591314
大分市の企業	13.031284,91.84063803993284
浦安市の企業	15.652477,95.62715280503036
大崎市の企業	15.342936,96.61605333979546
岡山市東区の企業	12.8211,95.843878966947
大野城市の企業	13.604694,98.57636907303448
別府市	13.031284,99.0303913833778
Windowsのソフトウェア	12.085634,99.15080112996664
## IMINE2-J-002	ゆず
ゆずの楽曲	519.5341959999998,
シングル	386.88454299999995,0.2010850975909914
北川悠仁が制作した楽曲	386.41475849999995,0.6889522120890466
存命人物	36.170109,0.17853009259259256
同名の地名	11.986378,0.4313064477371381
ゆずのアルバム	243.51335599999996,1.4389512321166342
岩沢厚治が制作した楽曲	205.914561,1.8968304548433619
1947年設立の企業	12.154158,1.3226338530991795
アルバム	96.986976,2.29834563110394
ヘ長調の曲	72.5007315,2.237812448425711
精油	26.964529,2.1274066312149604
人物の愛称	12.320051,2.1865600619294816
音楽プロダクション	12.114659,2.4116024030118393
ハ長調の曲	60.381635,3.3718707851063705
ト長調の曲	60.360186,3.76979259580596
音楽	48.200439,3.7220324756547782
ゆずの映像作品	120.90892200000002,5.537472686813016
1983年生	24.250203,3.9996953824083334
オリコンアルバムチャート1位獲得作品	121.07690500000001,6.740664371409772
漫画	36.137851,4.801023480969381
子供への虐待を扱った作品	11.966665,4.406180219058615
イ長調の曲	48.266760000000005,5.791613374705081
果物	26.964529,5.409707087671806
名数5	12.105552,5.091180824029897
2006年没	11.841866,5.467675513626256
1931年生	11.841866,5.796785467654593
日本の調味料	26.964529,6.694050247787125
キャラクター	12.158617,6.246951158737547
ホ長調の曲	36.527842,7.50956982938244
日本語の姓	11.986378,6.9167526002502875
長大な音楽作品名	23.929355,7.7482635848264465
日本の食品メーカー	12.154158,7.55272029233668
スポーツ音楽	11.935519,7.899231178738331
レースクイーン	12.130603,8.135453444035901
