## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
バージョン管理システム	202.29546799999997,0.3086581319877603
企業	97.04383899999999,0.09460125253331712
存命人物	54.778613,0.010833333333333332
ソフトウェア開発ツール	92.77914299999999,0.38670007281872765
エセックス級航空母艦	115.81491800000002,0.5652704714905818
コンピュータ	80.617357,0.43934488011322226
薬局・薬店	47.429491,0.30265059784312304
ソフトウェア	68.442578,0.4557816300161764
日本のコンビニ	70.769525,0.49192774495418784
1945年竣工船	49.190335000000005,0.3608918420391133
協働	30.172584,0.24727777777777776
経済地理学	15.784735,0.1711049456393604
FLOSS	79.206374,0.5837660926850246
製造	12.038476,0.17058044517318244
オープンソース文化・運動	24.767906,0.26900846351593793
技術のウェブサイト	24.767906,0.2763816550925926
エンジニアリング	12.038476,0.19831889588155865
研究プロジェクト	12.085634,0.22709700708562255
1970年代の玩具	12.8211,0.23301297959112593
アメリカ合衆国の小売業者	47.429491,0.4761060885624303
自動車	16.38699,0.27256427937992966
方法論	12.038476,0.25054722558236525
規模の経済	15.784735,0.28126659892876665
白色矮星	12.085634,0.2590545871262922
連星	12.085634,0.2590545871262922
コンピュータのデータ	12.8211,0.2642192189706606
道路交通	16.38699,0.28981433024710496
KDE	56.257591000000005,0.5588698059816415
電子工学	14.026624,0.27524552195356705
1943年竣工船	26.340266,0.3608918420391133
1946年竣工船	25.988647,0.3608918420391133
情報システム	13.604694,0.2834700503673941
電子商取引	13.604694,0.29332902874265604
変光星の分類	12.085634,0.2889364109117798
統合開発環境	51.89398,0.5592785232160209
データベース	14.882075,0.3130838462672606
通信プロトコル	14.374394,0.3137213566721997
認定資格	12.038476,0.3035009954005112
東京都出身の人物	28.142635,0.41271865284237585
1947年設立の企業	13.031284,0.3120075303819444
1948年設立の企業	12.8211,0.3120075303819444
日本の実業家	14.374394,0.32635973223691206
フリーソフトウェアのプロジェクト	24.767906,0.3984146853119466
ネットワークソフト	28.803825,0.4301557616071173
アメリカ合衆国の揚陸艦	40.871752,0.5249307509936422
1981年設立の企業	15.652477,0.3571664207175926
1984年没	15.500951,0.35627902589469423
BSD	55.547247999999996,0.626194343740623
イギリスの言語学者	12.157069,0.3429898903929157
バグ	12.8211,0.3500646895448976
1917年生	15.500951,0.3697540043751071
1983年設立の企業	14.026624,0.3619373145669903
世界ゴルフ殿堂	13.031284,0.35660987895048846
テキストエディタ	25.433952,0.44090481488774813
1962年生	14.374394,0.3697540043751071
1976年設立の企業	12.8211,0.3619373145669903
1970年生	13.768241,0.3697540043751071
1968年生	13.604694,0.3697540043751071
アプリケーションソフト	14.340986,0.37625119298101467
2008年没	12.157069,0.36240013619822287
1957年生	13.031284,0.3697540043751071
1944年竣工船	12.383953,0.3666905780412284
1920年生	12.157069,0.3697540043751071
経営戦略論	15.784735,0.3979953342013889
比較	14.095895,0.3871681221362502
コンピュータゲーム	42.263401,0.5787646874303839
オラクル	14.374394,0.39403146517195003
EDAソフト	14.026624,0.3930572686517334
博物館船	13.956313,0.39331233915280056
菓子の商品名	13.348318,0.39238659529048103
日本のLinux開発	37.290687,0.559741350963584
日本の食品産業	14.026624,0.40347858911167817
ゲーム機	12.8211,0.3985457070620573
プロジェクトマネジメントソフト	12.8211,0.39910753232228546
インターネット技術	26.460028,0.4916334570007371
Linuxディストリビューション	50.340686,0.6586148873313898
NYSE上場企業	30.092089,0.5506171916279277
かつて存在したウェブサイト	12.8211,0.43168315704303845
GNUプロジェクト	40.316027,0.6253052876371741
登録商標	12.038476,0.4300560073598171
Googleのサービス	12.8211,0.4392332443844307
日本の卸売企業	12.8211,0.4398433691837896
レストランチェーン	12.8211,0.4455690586419752
コンピュータゲームを題材にした作品	12.8211,0.4481805189892042
天文学に関する記事	12.085634,0.44302367326817554
データ圧縮規格	13.348318,0.4657598590910915
ロッテグループ	14.374394,0.4736308873150597
トランザクション処理	14.882075,0.4776964349273137
黄綬褒章受章者	15.500951,0.4837909950845907
UNIXに関連する組織	25.433952,0.5559744564829106
IRCクライアント	12.8211,0.47054808527663466
日本の小売業者	15.652477,0.49260298913561185
コンパイラ	26.869191,0.5718284023252934
1978年のコンピュータゲーム	12.8211,0.47695110526513207
サーバ	14.374394,0.5001435349905375
コンピュータゲームのボスキャラクター	14.272237,0.49968709424296986
航空母艦	14.269015,0.5007228208709609
Apacheソフトウェア財団	26.834787,0.595907586376886
アメリカ合衆国海軍	13.031284,0.5014631676228375
お笑い芸人	13.768241,0.5150164610086897
架空のプロレスラー	14.218298,0.5189207961819844
トルコ語	12.157069,0.5102923195502723
Javaプラットフォーム	14.374394,0.5274275012860082
日本の外食事業者	12.8211,0.5168023447658572
Javaツール	39.655887,0.7062396835149621
日本の貨物運送サービス	12.038476,0.5250130353406174
IBMのソフトウェア	12.617265,0.5348036983023366
ローソン	44.61018,0.7734721013029664
メディアプレーヤーソフト	12.8211,0.5653465896932305
自動車	16.38699,0.5932829599444157
流通	15.784735,0.5934309895833333
Mozilla	14.940267,0.5884620673718272
日本の商社	14.026624,0.5930625787366075
Webオーサリングソフト	13.348318,0.5903329186224326
学者	12.157069,0.5818609476808986
Java	26.460028,0.6974652548867103
言語学	12.157069,0.5859198173868313
ダーバン出身の人物	13.031284,0.5927789110725308
アメリカ合衆国の航空母艦	14.29567,0.6081703242842225
C言語	13.520873,0.605485879950806
鉄道駅	14.843781,0.6196339498259323
アメリカ合衆国のソフトウェア会社	13.348318,0.6156341863142937
コンピュータゲームのシリーズ	12.8211,0.6218018130765455
ロンドン出身の人物	12.157069,0.6170907550244735
ウィキクローン	12.8211,0.6417537261990567
IPv6	12.085634,0.6732097805949395
エミュレーションソフトウェア	12.383953,0.6798918767230501
東京都港区の企業	14.026624,0.6949463115069436
サークルKサンクス	29.257171,0.8245416485751987
千代田区の企業	13.348318,0.6989983482134084
C++	12.383953,0.6927453347510247
ザ・キング・オブ・ファイターズの登場人物	29.49624,0.8353185031857727
カリフォルニア州の企業	13.348318,0.7177233378790152
ジンバブエのゴルファー	13.031284,0.7159612216919421
日本のラグビー選手	14.374394,0.7279183874496488
Ruby	12.8211,0.7155873184786813
ヤマトグループ	12.038476,0.7131945950927175
Python	12.085634,0.7155873184786813
インスタントラーメン	12.085634,0.7167347290243723
アメリカ合衆国のゴルファー	13.604694,0.7296830490921901
カサブランカ級航空母艦	12.383953,0.72113156450269
双日	14.026624,0.7393241749149381
サンリブ・マルショクグループ	13.031284,0.7327761330100898
餓狼伝説の登場人物	26.925586000000003,0.8501473854366115
ソフトウェア開発キット	12.085634,0.7339247925567511
クロスプラットフォームのソフトウェア	29.645366000000003,0.8839725196116255
JavaScript	14.940267,0.7964735243055554
オックスフォード大学の教員	12.157069,0.7769192708333332
ロードアイランド州の企業	17.337402,0.8228190104166666
架空のキックボクサー	12.707288,0.7917852205504115
エポック社	12.8211,0.7941070012431413
SNKのクロスオーバー作品	12.8211,0.8020648469650206
カプコンのクロスオーバー作品	12.8211,0.8020648469650206
