## 0101	シド
英語の男性名	144.07066700000001
エボシドリ科	90.8337025
鳥類	90.5524235
配糖体	63.873912
シドニーの観光地	63.7418745
Least concern	63.046527499999996
化学	45.611808999999994
シドニーの建築物	45.532051
官能基	45.484787
シドニーの地理	36.4427035
シドニーのスポーツ	36.295865
ペルオキシド	27.311881
医学	27.242033
有機反応試剤	27.148353
シングル	27.139168
シドの楽曲	27.139168
シドニーオリンピック	27.097552999999998
ニワシドリ科	18.391927
シドニー	18.329785
オーストラリア	18.329202000000002
生体物質	18.273595999999998
人名の曖昧さ回避	18.244574
ニューサウスウェールズ州の地方公共団体	18.232492999999998
イギリスの航空用エンジンメーカー	18.228794999999998
界面活性剤	18.211214
症候	18.191282
オーストラリアのバスケットボールチーム	18.142279000000002
バスケットボール	18.142279000000002
プロジェクトバスケットボール項目	18.142279000000002
2010年のシングル	18.132595000000002
塩基	18.095879
アルコキシド	18.095879
腎臓学	18.085597
エポキシド	18.082054999999997
生物学	18.081091
ウイルス	18.081091
アルバム	18.078833000000003
オリンピックテコンドー競技	18.054416500000002
オーストラリアの巡洋艦	18.043777
ヌクレオシド	18.011988
シドニーオリンピックにおける各競技	17.978418
英語の姓	9.248017
同名の地名	9.248017
同名の船	9.248017
トリテルペン	9.216991
甘味料	9.216991
腎泌尿器疾患	9.192515
酸素の化合物	9.182969
アセタール	9.172108
化学結合	9.172108
かつて存在したイギリスの航空機メーカー	9.169126
ニューサウスウェールズ州のスポーツ	9.15307
オーストラリアの競技場	9.1351795
脂質	9.132408
糖類	9.132408
オーストラリアの株価指数	9.123902
スタンダード&プアーズ	9.123902
情報の更新が必要とされている項目/2013年	9.123902
名数50	9.123902
かつて存在したイギリスの工業製品メーカー	9.12342
イギリスの自動車メーカー・ブランド	9.12342
ゴシック建築	9.122172
聖公会の教会堂	9.122172
オーストラリアの大聖堂	9.122172
建築	9.121643
オーストラリアの橋	9.121643
シドニーの交通	9.121643
ニューサウスウェールズ州の交通	9.121643
ニューサウスウェールズ州の建築物	9.121643
鉄道道路併用橋	9.121643
タイ王国	9.115088
ドーナツ	9.115088
食文化	9.115088
タイの菓子	9.115088
ボクシング会場	9.113802
オーストラリアのバスケットボール競技施設	9.113802
オーストラリアの屋内競技施設	9.113802
バレーボール競技施設	9.113802
プロレス会場	9.113802
無形文化遺産	9.108719
奇祭	9.108719
鹿児島県の画像提供依頼	9.108719
甑島列島	9.108719
日本の民間信仰	9.108719
重要無形民俗文化財	9.108719
有機硫黄化合物	9.103493
ホスフィンオキシド	9.09699
有機ホスフィンオキシド	9.09699
塔	9.093929
双曲面構造	9.093929
1981年竣工の建築物	9.093929
有機化合物	9.091871
絶滅危惧IB類	9.0878105
魚類	9.0878105
ドジョウ科	9.0878105
淡水魚	9.0878105
2005年のアルバム	9.08683
診断と治療	9.08683
血液検査	9.08683
シドのアルバム	9.08683
ファイナルファンタジーのキャラクター	9.086435
コンピュータゲーム	9.086435
現代美術館	9.077066
オーストラリアの美術館	9.077066
美術館	9.077066
埠頭	9.074644
アルコール	9.072591
アフリカの湾	9.072007
地中海の湾	9.072007
リビアの地形	9.072007
リビア	9.072007
オリンピックにおける各競技のメダリスト一覧	9.0652075
EC 1.7.1	9.057872
アミン	9.057495
有機窒素化合物	9.057495
アミンオキシド	9.057495
コマーシャルソング	9.055529
アメリカ合衆国のホラー映画	9.0538025
アスミック・エース	9.0538025
1997年の映画	9.0538025
ウェス・クレイヴンの監督映画	9.0538025
オハイオ州を舞台とした映画作品	9.0538025
映画	9.0538025
復讐を題材とした映画	9.0538025
ミラマックスの作品	9.0538025
ノバスコシア州の都市	9.05236
リビアの歴史	9.0473
メキシコ系アメリカ人	9.043603
2009年没	9.043603
アイルランド系アメリカ人	9.043603
アメリカ合衆国のミュージカル俳優	9.043603
アメリカ合衆国の映画俳優	9.043603
アメリカ合衆国の舞台俳優	9.043603
アメリカ合衆国陸軍の軍人	9.043603
イングランド系アメリカ人	9.043603
チャーリー・チャップリン	9.043603
第二次世界大戦期のアメリカ合衆国の軍人	9.043603
1926年生	9.043603
ロサンゼルス出身の人物	9.043603
トニー賞受賞者	9.043603
1913年竣工船	9.041658
タウン級軽巡洋艦 (初代)	9.041658
第一次世界大戦の艦船	9.041658
軍艦	9.041658
遺伝子疾患	9.040777
オリンピックサッカー競技の会場	9.039784
オーストラリアのサッカー競技施設	9.039784
オーストラリアのラグビー競技施設	9.039784
ラグビー	9.039784
ラグビーリーグワールドカップ競技場	9.039784
ラグビーリーグ競技施設	9.039784
サッカー	9.039784
シドニーの郊外	9.035825
ヌクレオチド	9.030041
核酸	9.030041
イギリスの軍人	9.029958
1586年没	9.029958
イギリスの詩人	9.029958
1554年生	9.029958
テューダー朝の人物	9.029958
ケント出身の人物	9.029958
オーストラリアの湾	9.025321
EC 3.3.2	9.025227
カディス県の自治体	9.017526
アンダルシア州の自治体	9.017526
スペイン	9.017526
EC 1.1.99	9.010239
フラボノール	9.010239
フィギュアスケートの国際大会	9.009464
代謝内分泌疾患	9.008741
救急医学	9.008741
糖尿病	9.008741
ロ短調の曲	9.006573
2011年のシングル	9.006573
セックス・ピストルズのメンバー	9.005397
1979年没	9.005397
イギリスのベーシスト	9.005397
1957年生	9.005397
言葉を濁した記述のある記事 (誰)/2013年7月-12月	9.005397
パンクミュージシャン	9.005397
EC 3.2.1	9.004132
カリウムの化合物	9.004008
シドニー出身の人物	9.002159
ウェスタン・シドニー・ワンダラーズFCの選手	9.002159
オーストラリアのサッカー選手	9.002159
サッカーオーストラリア代表選手	9.002159
シドニーFCの選手	9.002159
1984年生	9.002159
存命人物	9.002159
ワイタケレ・ユナイテッドの選手	9.002159
1935年竣工船	9.002119
リアンダー級軽巡洋艦	9.002119
シドの映像作品	9.000373
ビデオソフト	9.000373
参照方法	8.998767
出典のページ番号が要望されている記事	8.998767
呼吸器学	8.998767
Near threatened	8.997589
2010年のアルバム	8.992003
日本の紀行	8.992003
日本の随筆	8.992003
村上春樹	8.992003
2001年の書籍	8.992003
アニプレックスのアルバム	8.992003
テレビアニメ主題歌集	8.992003
長大な音楽作品名	8.992003
鋼の錬金術師のアニメソング	8.992003
オリンピック	8.991748
夏季オリンピック	8.991748
オリンピック馬術競技	8.989209
現在活動していないバスケットボールチーム	8.989209
スズメ目	8.989209
ドミニカ共和国の国の象徴	8.989209
## 0102	ダム
ダム	1982.2326339999988
ダム	530.8975168
河川	391.40736999999996
日本のダム	363.8700005000001
土木施設	186.13959400000002
古代メソポタミア	134.82265
水道施設	134.82265
古代エジプト	134.82265
オランダ語由来の外来語	134.82265
ヨーロッパの農業史	134.82265
農業の歴史	134.82265
重力式コンクリートダム	127.01360390000002
湖	102.633888
堰	102.633888
発電	102.633888
水力発電所	102.633888
日本の林業史	102.633888
アーチ式コンクリートダム	91.41937910000001
ロックフィルダム	66.8630842
人造湖	58.00986
開発	58.005527
環境保護運動	58.002356999999996
災害と防災の歴史	57.997969499999996
日本の土木技術者	51.316944
石川県出身の人物	51.316944
第二次世界大戦の戦災死者	51.316944
1942年没	51.316944
地理用語	51.316944
台湾総督府の人物	51.316944
環境工学	51.316944
1886年生	51.316944
ジンバブエ	51.316944
土木史	51.316944
治水	51.316944
良質な記事	51.316944
経済地理学	51.316944
比較	51.316944
ジンバブエの建築物	51.316944
ザンビア	51.316944
ザンビアの建築物	51.316944
防災	51.316944
秩父市の歴史	51.316944
ナイル川	51.316944
スーダンの建築物	51.316944
スーダン	51.316944
安全	51.316944
トンネル	51.316944
バルブ	51.316944
土壌	51.316944
森林	51.316944
防災施設	51.316944
土砂災害	51.316944
世界地理	51.316944
日本の地理	51.316944
土質力学	51.316944
土木工学	51.316944
砂防	51.316944
鉱業	51.316944
環境マネジメント	51.316944
アメリカ合衆国陸軍	51.316944
工兵	51.316944
2007年の書籍	51.316944
写真集	51.316944
水力発電	51.316944
特筆性の基準を満たしていないおそれのある記事/2013年1月	51.316944
再生可能エネルギー	51.316944
コンゴ民主共和国の建築物	51.316944
メコン川	51.316944
コンゴ川水系	51.316944
グアテマラの建築物	51.316944
ラオスの建築物	51.316944
ラオス	51.316944
環境	51.316944
ナイル川水系	51.316944
施設の一覧	33.5305239
北海道のダム	26.7820268
利根川水系のダム・堰	26.7319886
宮城県のダム	26.729643799999998
信濃川水系	26.7242323
長野県のダム	26.7242323
日本関連一覧	20.1113952
アースダム	20.0521551
石狩川水系	20.0475583
東京電力	20.0462043
日本のエネルギー関連一覧	13.3915994
ガンダムシリーズゲーム作品	13.383462999999999
日本の土木史	13.382677999999999
ガンダムシリーズ	13.3770376
日本の地理一覧	13.376149999999999
台形CSGダム	13.370315600000001
北陸電力	13.3695731
電源開発	13.36939
松本市の建築物	13.367291699999999
神奈川県のダム	13.3671889
相模川水系	13.3671889
栃木県のダム	13.3662571
金沢市の建築物	13.3657687
石川県のダム	13.3657687
群馬県のダム	13.365731499999999
大和町	13.364041499999999
鳴瀬川水系	13.364041499999999
中国電力	13.3634193
安芸太田町	13.3634193
